longitude,latitude,type,
116395855,39714940,3,
116379495,40191662,4,
116505270,39661022,4,
116308737,39887597,0,
116744200,40044335,3,
116127568,39934857,2,
116120550,39701772,2,
116507617,40011242,3,
116214083,39873812,2,
115905783,39631615,4,
116582800,40060723,3,
116294883,39838323,2,
116312800,39955732,1,
115987100,39618875,3,
115986075,39784905,1,
116630678,39888677,1,
116179695,39791577,4,
116717175,40015078,1,
116169903,40081390,0,
116220255,39760853,2,
116268040,40064627,3,
116066867,40484900,3,
115944433,39673593,4,
116155817,39728422,3,
116349217,39715208,2,
116780630,40249898,1,
116114933,39730692,4,
116572583,39651508,2,
116339328,39799825,1,
116692367,39947860,2,
116266600,39926933,2,
116806783,40235457,3,
116789500,39779878,4,
116461977,40187253,1,
116374137,39970318,3,
116324333,39790745,0,
116008367,39683272,0,
116411150,39891495,4,
116206305,39702753,0,
116365343,39876817,2,
116642420,39927938,2,
116061630,39665538,1,
116183867,40039985,1,
116044383,39618650,4,
116217652,40077908,2,
116545025,39950785,3,
116246923,39839807,2,
116374582,39975247,1,
116452617,40014170,1,
116694600,40444283,4,
116635567,40134553,0,
116130968,39577213,1,
116820493,39759030,3,
116131400,40084955,0,
116374273,39979450,4,
116364902,39955652,4,
116706650,40322348,0,
116371917,39906207,2,
116488033,39851168,3,
116443428,39982890,0,
115854250,39617593,4,
115909467,39663193,4,
116078367,39984653,4,
116641183,40175435,2,
116256483,39972188,4,
115927182,39813870,4,
116809683,40364513,2,
116369350,39941837,4,
116626395,40126575,2,
116385925,39853335,2,
116167567,39690603,0,
116454792,39871673,0,
116066433,39739758,3,
116331017,40032170,2,
115982360,39697565,2,
116372983,39864490,3,
116379517,39996392,1,
116041557,39756840,3,
116451588,40056560,2,
116307037,39884682,4,
116643107,40127462,4,
116244353,39847822,4,
116142800,39754200,1,
116580473,39917665,4,
116101167,39838738,2,
116364640,39873248,4,
116176950,40201242,2,
116410130,40007288,4,
116063667,39617000,3,
116408705,39899803,3,
116399667,39929707,0,
116321450,40025355,4,
116206395,39875205,2,
116328300,39887497,4,
116158450,39926520,3,
116182733,39732058,4,
116091832,39933333,1,
116074017,39778242,3,
116105675,39933112,3,
115897867,39570845,3,
116473500,40581992,4,
116433633,39968967,0,
116110895,39912598,3,
116582750,39912723,2,
116623602,39912777,4,
116406017,39858280,3,
116694800,39881553,4,
116086633,39753062,3,
116115835,40245298,2,
116851838,40380603,0,
116117115,39925692,4,
116221700,39873390,1,
116336983,39958553,0,
116350055,40116157,2,
116114730,39888000,4,
116116883,39743885,4,
116205417,40215818,4,
116489978,39913447,3,
